filename,volume_rate(%),duration(s),memory(KB)
br06_087.json,83.19,0.001,146
br06_088.json,80.97,0.004,192
br06_089.json,79.00,0.001,141
br06_090.json,79.47,0.001,130
br06_091.json,80.92,0.001,156
br06_092.json,83.17,0.001,150
br06_093.json,77.95,0.001,131
br06_094.json,85.00,0.002,171
br06_095.json,82.40,0.002,181
br06_096.json,83.19,0.002,165
br06_097.json,81.54,0.002,172
br06_098.json,75.63,0.003,177
br06_099.json,80.07,0.001,154
br06_100.json,84.79,0.003,171
br07_001.json,81.55,0.001,153
br07_002.json,81.32,0.002,170
br07_003.json,78.86,0.002,164
br07_004.json,80.91,0.003,186
br07_005.json,79.42,0.001,163
br07_006.json,81.02,0.003,188
br07_007.json,80.99,0.001,152
br07_008.json,82.01,0.002,159
br07_009.json,76.99,0.002,170
br07_010.json,80.19,0.002,174
br07_011.json,82.61,0.002,179
br07_012.json,80.92,0.003,182
br07_013.json,81.04,0.004,198
br07_014.json,85.41,0.002,159
br07_015.json,79.72,0.002,158
br07_016.json,77.20,0.001,158
br07_017.json,85.14,0.002,163
br07_018.json,79.46,0.001,148
br07_019.json,82.74,0.002,174
br07_020.json,80.70,0.001,170
br07_021.json,80.21,0.002,172
br07_022.json,82.81,0.002,171
br07_023.json,80.16,0.002,189
br07_024.json,84.12,0.001,149
br07_025.json,71.14,0.002,170
br07_026.json,79.93,0.002,184
br07_027.json,84.36,0.002,160
br07_028.json,83.22,0.002,180
br07_029.json,83.29,0.001,158
br07_030.json,76.62,0.002,179
br07_031.json,73.82,0.003,191
br07_032.json,80.30,0.003,183
br07_033.json,81.64,0.002,179
br07_034.json,83.33,0.001,150
br07_035.json,81.46,0.004,192
br07_036.json,80.14,0.002,173
br07_037.json,80.23,0.001,146
br07_038.json,85.48,0.002,160
br07_039.json,83.40,0.004,196
br07_040.json,82.36,0.001,159
br07_041.json,78.98,0.002,165
br07_042.json,79.83,0.001,152
br07_043.json,82.95,0.001,143
br07_044.json,79.56,0.003,188
br07_045.json,81.02,0.002,177
br07_046.json,79.56,0.001,156
br07_047.json,81.52,0.003,184
br07_048.json,79.08,0.001,155
br07_049.json,83.61,0.002,171
br07_050.json,81.16,0.002,183
br07_051.json,82.42,0.004,195
br07_052.json,78.76,0.002,176
br07_053.json,79.29,0.001,161
br07_054.json,79.52,0.002,179
br07_055.json,78.66,0.003,178
br07_056.json,80.16,0.003,192
br07_057.json,81.08,0.002,165
br07_058.json,87.36,0.001,157
br07_059.json,78.55,0.002,170
br07_060.json,80.14,0.002,164
br07_061.json,82.57,0.001,146
br07_062.json,78.84,0.002,164
br07_063.json,79.55,0.001,151
br07_064.json,82.55,0.001,151
br07_065.json,83.62,0.004,196
br07_066.json,82.33,0.001,158
br07_067.json,75.75,0.003,192
br07_068.json,78.83,0.001,150
br07_069.json,80.69,0.003,187
br07_070.json,75.22,0.001,154
br07_071.json,81.82,0.002,165
br07_072.json,80.40,0.002,165
br07_073.json,76.29,0.001,160
br07_074.json,79.40,0.001,152
br07_075.json,80.84,0.001,169
br07_076.json,81.30,0.001,149
br07_077.json,78.90,0.004,189
br07_078.json,80.45,0.002,179
